state,hsCompletion,poverty,disabilityEmployment,whiteCollar,goodHealth,drExpensive,obesity,abbr
United States,86.9,15.5,34.4,14.8,83.1,13.1,29.5,US
Alabama,84.7,19.3,27.2,12.7,77.1,17.4,33.5,AL
Alaska,92.9,11.2,40.8,14.1,86.6,11.9,29.7,AK
Arizona,86.1,18.2,32.8,14.1,81,15.5,28.9,AZ
Arkansas,85.3,18.9,29.2,12.4,76.5,18.2,35.9,AR
California,82.1,16.4,33.3,15.3,81.9,13.5,24.7,CA
Colorado,90.5,12,41.6,17.3,86.8,13.1,21.3,CO
Connecticut,90.1,10.8,40.2,17,85.7,11.3,26.3,CT
Delaware,89,12.5,35.6,15.9,84.4,10.8,30.7,DE
District of Columbia,90.2,17.7,30.3,26.3,87.1,10.5,21.7,DC
Florida,87.2,16.5,30.1,14.6,80.7,17.6,26.2,FL
Georgia,85.6,18.3,29.6,15.1,81.2,19,30.5,GA
Hawaii,91.7,11.4,42.4,13.2,85.5,8.7,22.1,HI
Idaho,90.1,14.8,38.8,13.4,86.9,15.8,28.9,ID
Illinois,88.2,14.4,35.7,15.4,82.7,12.4,29.3,IL
Indiana,88.4,15.2,36.2,12.7,81.1,15.1,32.7,IN
Iowa,92.1,12.2,46.5,14.7,86.4,8.8,30.9,IA
Kansas,90.3,13.6,39.8,14.8,84.6,12.5,31.3,KS
Kentucky,84.5,19.1,27.3,12.9,75.7,15.9,31.6,KY
Louisiana,83.6,19.8,32.1,12.2,78.3,17.5,34.9,LA
Maine,91.7,14.1,32.5,14.1,84.9,10.9,28.2,ME
Maryland,89.6,10.1,39.1,17.4,85.8,10.1,29.6,MD
Massachusetts,89.7,11.6,35.5,17.5,85.5,8.3,23.3,MA
Michigan,89.9,16.2,29.6,13.5,83.2,14.6,30.7,MI
Minnesota,92.6,11.5,44.4,16.8,88,9.2,27.6,MN
Mississippi,82.8,21.5,27.4,11.4,78,19.4,35.5,MS
Missouri,88.9,15.5,32.8,14.2,83.1,13.7,30.2,MO
Montana,92.6,15.4,40.5,14.3,84.6,11.9,26.4,MT
Nebraska,90.3,12.4,46,15.4,86.8,11.8,30.2,NE
Nevada,85.1,15.2,40.9,11.8,81.5,17.3,27.7,NV
New Hampshire,92.2,9.2,40,15.6,86.3,11.1,27.4,NH
New Jersey,89.1,11.1,39.2,16.9,83.1,14,26.9,NJ
New Mexico,84.2,21.3,30.4,12.4,79.3,17.2,28.4,NM
New York,85.7,15.9,33.6,15.1,82.8,14,27,NY
North Carolina,86.4,17.2,31.3,14.2,81.1,16.2,29.7,NC
North Dakota,92.2,11.5,49.9,17.4,85.9,7,32.2,ND
Ohio,89.4,15.8,34.6,13.9,82.2,13.1,32.6,OH
Oklahoma,87.3,16.6,36.4,13.4,79.5,15,33,OK
Oregon,89.7,16.6,36.4,14.8,84.4,14.4,27.9,OR
Pennsylvania,89.4,13.6,34.5,14.1,82.9,11.8,30.2,PA
Rhode Island,85.8,14.3,33.9,13.2,84.8,11.9,27,RI
South Carolina,86.1,18,29,12.9,80.3,18.1,32.1,SC
South Dakota,91.7,14.2,50.1,16.3,86,10,29.8,SD
Tennessee,85.8,18.3,29.9,12.6,76.2,15.5,31.2,TN
Texas,82.2,17.2,38,14.6,80.5,17.6,31.9,TX
Utah,91.4,11.7,44,15.4,87.9,14.3,25.7,UT
Vermont,92,12.2,36.2,15.2,88.3,9.1,24.8,VT
Virginia,88.5,11.8,37.6,17.9,83.1,13.1,28.5,VA
Washington,90.4,13.2,37.7,16,84,12.3,27.3,WA
West Virginia,85.2,18.3,25.6,10.5,74.2,16.5,35.7,WV
Wisconsin,91.4,13.2,39.8,14.2,84.5,10.6,31.2,WI
Wyoming,92.6,11.2,45.2,13.7,86.3,11.8,29.5,WY
Puerto Rico,73.8,46.2,22.3,11.5,64.6,12.2,28.3,PR
